(isin username bid ask)
(string string real real)
(|DE0002387921| moselebe 98.0 98.1)
(|GB0002199923| moselebe 98.0 98.1)
(|GB0009122011| moselebe 99.3 102.6)
(|XS0009876238| moselebe 98.0 98.1)
(|ES0002355522| moselebe 98.0 98.1)
(|XS0002384498| moselebe 98.0 98.1)
(|XS0002392196| moselebe 98.0 98.1)
(|XS0002382949| moselebe 98.0 98.1)
(|DE0002387921| ferreia 97.9 98.2)
(|GB0002199923| ferreia 97.9 98.2)
(|XS0009876238| ferreia 97.9 98.2)
(|ES0002355522| ferreia 97.9 98.2)
(|XS0002384498| ferreia 97.9 98.2)
(|XS0002392196| ferreia 97.9 98.2)
(|XS0002382949| ferreia 97.9 98.2)
(|DE0002387921| owenr 98.0 98.1)
(|GB0002199923| owenr 98.0 98.1)
(|XS0009876238| owenr 98.0 98.1)
(|ES0002355522| owenr 98.0 98.1)
(|XS0002384498| owenr 98.0 98.1)
(|XS0002392196| owenr 98.0 98.1)
(|XS0002382949| owenr 98.0 98.1)
(|DE0002387921| mccartwi 98.0 98.1)
(|GB0002199923| mccartwi 98.0 98.1)
(|XS0009876238| mccartwi 98.0 98.1)
(|ES0002355522| mccartwi 98.0 98.1)
(|XS0002384498| mccartwi 98.0 98.1)
(|XS0002392196| mccartwi 98.0 98.1)
(|XS0002382949| mccartwi 98.0 98.1)
(|DE0002387921| sharpc 97.9 98.2)
(|GB0002199923| sharpc 97.9 98.2)
(|XS0009876238| sharpc 97.9 98.2)
(|ES0002355522| sharpc 97.9 98.2)
(|XS0002384498| sharpc 97.9 98.2)
(|XS0002392196| sharpc 97.9 98.2)
(|XS0002382949| sharpc 97.9 98.2)
(|DE0002387921| dukegaa 98.0 98.1)
(|GB0002199923| dukegaa 98.0 98.1)
(|XS0009876238| dukegaa 98.0 98.1)
(|ES0002355522| dukegaa 98.0 98.1)
(|XS0002384498| dukegaa 98.0 98.1)
(|XS0002392196| dukegaa 98.0 98.1)
(|XS0002382949| dukegaa 98.0 98.1)
(|DE0002387921| burtonl 97.9 98.2)
(|GB0002199923| burtonl 97.9 98.2)
(|XS0009876238| burtonl 97.9 98.2)
(|ES0002355522| burtonl 97.9 98.2)
(|XS0002384498| burtonl 97.9 98.2)
(|XS0002392196| burtonl 97.9 98.2)
(|XS0002382949| burtonl 97.9 98.2)
